dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
1484_lsvt,0.020222902297973633,0.0012754915977149113,0.0020459175109863283,0.004091835021972657,0.6113846153846153,0.05636399035096808,0.6729347826086957,0.07075444103571162,0.8463235294117647,0.0696164728149684,0.7444577615309323,0.027759240318195218,0.6534313725490196,0.12456768764132232
1485_madelon,1.2223241329193115,0.02669236310028082,0.0014055252075195312,0.001781670602510617,0.5488461538461538,0.01648021945048349,0.5484315684315684,0.016841705088748486,0.5553846153846154,0.012545774177153907,0.551837360182175,0.013992804638415991,0.5760739644970414,0.023091538005978088
1487_ozone-level-8hr,1.1229819297790526,0.014862104510284146,0.003222751617431641,0.0013111956761193608,0.9340988999851876,0.0062869122507894955,0.9455141364276587,0.0016848650251551436,0.9865236508994004,0.008688234809653106,0.9655578412173483,0.0034627419776470454,0.8868612869198312,0.04288235071195257
1488_parkinsons,0.013094758987426758,0.0033698524345613192,0.0032348155975341795,0.0021591625887339818,0.8256410256410256,0.0750191735298861,0.8612870789341377,0.1015319868234387,0.9388505747126438,0.045621614920113754,0.8928175576958537,0.04107563504461686,0.7904214559386974,0.16547953388496814
1489_phoneme,0.008767223358154297,0.00212033006406589,0.0003986835479736328,0.0007973670959472656,0.751294411895707,0.007778177986875919,0.7971953505704192,0.00856527853101313,0.869308941694743,0.009597680854078496,0.8316233468367269,0.004978629169983954,0.8128237560049068,0.005878379249845423
1490_planning-relax,0.004798221588134766,0.0033453627815735903,0.003012943267822266,0.0025290294956678452,0.7144144144144144,0.009562572569423793,0.7144144144144144,0.009562572569423793,1.0,0.0,0.8333845366103431,0.00652193889527516,0.42489510489510496,0.06277734200861007
1494_qsar-biodeg,0.0162229061126709,0.0038065273607393656,0.003941679000854492,0.0036759937406796827,0.8464454976303319,0.03528817150518729,0.8863348049316333,0.011676624205365539,0.8812744090441932,0.055775057748117224,0.8829362919774442,0.030771190887152338,0.9205320894190081,0.030339243860104916
1495_qualitative-bankruptcy,0.0033238410949707033,0.0035621218873874852,0.004309654235839844,0.003786414084854328,0.9119999999999999,0.03919183588453084,0.9661071428571428,0.0344120440472548,0.8810344827586206,0.09162958834547169,0.9174489393914728,0.04199845544305388,0.9655433646812958,0.02605971124316487
1496_ringnorm,0.015410900115966797,0.0038305053872658987,0.005953788757324219,0.0038183286161497503,0.7564864864864864,0.005662791037772165,0.7376534258010654,0.008694613144014453,0.8038052387804336,0.012783798211528415,0.7691969002263346,0.005216530429637353,0.8137349962103395,0.008685170326018508
1497_wall-robot-navigation,0.022090053558349608,0.0017263979931980606,0.005478572845458984,0.0024474766604834566,0.7521991451872295,0.01851393616869319,0.737986442448422,0.055409688584778655,0.6131519274376417,0.05926311555163585,0.6658040805959053,0.025876276202644672,0.8203569749929198,0.01849418710367593
1498_sa-heart,0.014221668243408203,0.003305952207941938,0.0018184661865234375,0.0027309265236536064,0.7164095371669005,0.022616671659478147,0.7536673773987207,0.015113810100560975,0.840983606557377,0.02299176675138091,0.7948677753544166,0.01739939026691094,0.7660604508196721,0.023933437146220517
14_mfeat-fourier,0.010291671752929688,0.0031840654745589714,0.0052825927734375,0.00347768276680222,0.9964999999999999,0.0029999999999999875,0.9949999999999999,0.010000000000000009,0.97,0.029154759474226494,0.9820795870795871,0.015457805514734746,0.999986111111111,2.777777777778212e-05
1501_semeion,1.1147759437561036,0.020389523282772777,0.0019890785217285155,0.0012407524724848754,0.9748782555548985,0.008225973956089101,0.8784419144001685,0.052668911399511055,0.8763257575757576,0.0488056091911737,0.8763600196136873,0.0416088973546556,0.9916662259580773,0.003123022660120083
1504_steel-plates-fault,0.012890911102294922,0.005285087618760437,0.0038055419921875,0.004756735285510145,0.6316195372750643,0.031794798128722414,0.6632163852405173,0.01258656894437303,0.8878435156079799,0.10013424696163999,0.7566834435988085,0.03654803194813484,0.582069011156116,0.16572711420445235
