abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-T50,abs-error-T50-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12,rank-13
0.1975,0.20354670944444453,0.1638,0.12448705666666694,0.18795,0.19826361666666678,0.2235,0.21938307499999984,0.12435,0.089609175,0.1843,0.12282478999999981,0.12465,0.08193609277777777,0.13055,0.08777447499999992,0.127,0.0917314733333334,0.2999,0.31654682499999975,0.19795000000000001,0.1024856183333334,0.18635000000000002,0.12312425833333371,0.5,0.5,0.12435,SMM,4,0.08193609277777777,DyS,6,6,7,4,8,10,5,11,1,2,0,3,9,12
0.5,0.424482900000001,0.5,0.3391960000000006,0.21975,0.33435449999999983,0.39935000000000004,0.3592592999999995,0.38785000000000003,0.16099579999999994,0.47240000000000004,0.36039914999999884,0.45439999999999997,0.2923663000000009,0.48465,0.1515505000000001,0.5,0.3125209000000002,0.31705,0.37483168333333283,0.0661,0.24404613333333297,0.13545,0.2756502000000006,0.5,0.5,0.0661,MAX,10,0.1515505000000001,SORD,7,7,4,10,11,6,8,2,1,3,5,9,0,12
0.39299999999999996,0.32175421666666754,0.32155,0.31973360000000056,0.49924999999999997,0.27643810000000013,0.26195,0.2664688000000001,0.18635000000000002,0.17032860000000002,0.307,0.2957264333333327,0.26505,0.2672980499999994,0.16865,0.19225550000000047,0.28385,0.28174380000000016,0.34945,0.3778004799999988,0.11245000000000001,0.2337654499999998,0.12895,0.2661190566666668,0.5,0.5,0.11245000000000001,MAX,10,0.17032860000000002,SMM,4,4,7,10,11,3,6,2,8,5,1,0,9,12
0.0,0.04963386666666664,0.0,0.01651046666666665,0.0209,0.09697060000000016,0.0209,0.07028009999999997,0.02645,0.03689906666666665,0.0,0.06752639999999975,0.0,0.04559390000000002,0.0,0.021784799999999962,0.0,0.048958249999999995,0.0,0.038244200000000006,0.0,0.016144849999999978,0.0,0.05247440000000003,0.5,0.5,0.0,CC,0,0.016144849999999978,MAX,10,10,1,7,4,9,6,8,0,11,5,3,2,12
0.37205,0.41467220000000027,0.15875,0.3832756000000011,0.5,0.32344579999999984,0.2787,0.27947500000000025,0.16845,0.31466550000000004,0.2003,0.3167550999999996,0.16190000000000002,0.31049811666666716,0.1576,0.32476510000000036,0.15535,0.3455072000000003,0.45715000000000006,0.41551100000000035,0.19435,0.3150126666666671,0.32435,0.3251325000000001,0.5,0.5,0.15535,MS,8,0.27947500000000025,PCC,3,3,6,4,10,5,2,7,11,8,1,0,9,12
0.0317,0.11047880666666679,0.01905,0.12190130333333356,0.06105000000000001,0.11085451999999985,0.06305,0.14699269833333337,0.038599999999999995,0.15060345833333358,0.02915,0.1784015333333336,0.022000000000000002,0.13843691666666655,0.0235,0.1258407499999998,0.02825,0.12049379000000023,0.12925,0.21402089999999926,0.01905,0.182747225,0.021949999999999997,0.16646353500000022,0.5,0.5,0.01905,ACC,1,0.11047880666666679,CC,0,0,2,8,1,7,6,3,4,11,5,10,9,12
0.00885,0.08102619999999994,0.0059499999999999996,0.06695904999999991,0.0291,0.07604219999999998,0.03345,0.07560479999999994,0.0067,0.041947599999999974,0.0149,0.06349299999999986,0.0084,0.038327600000000045,0.00605,0.03307539999999994,0.0059499999999999996,0.044137899999999994,0.00885,0.10252260000000002,0.0068000000000000005,0.03694249999999989,0.0086,0.038654599999999956,0.5,0.5,0.0059499999999999996,ACC,1,0.03307539999999994,SORD,7,7,10,6,11,4,8,5,1,3,2,0,9,12
0.3398,0.23422670000000023,0.25365,0.09806359999999993,0.17215,0.19678079999999992,0.2864,0.25467728333333367,0.18015,0.0910544499999999,0.36719999999999997,0.3096790499999993,0.27835,0.12791599999999956,0.16325,0.10167249999999994,0.17995,0.12271600000000032,0.18830000000000002,0.24967749999999966,0.13685,0.09110574166666645,0.08025,0.13379495000000005,0.5,0.5,0.08025,X,11,0.0910544499999999,SMM,4,4,10,1,7,8,6,11,2,0,9,3,5,12
0.42095,0.2963640800000002,0.25875,0.33257525666666743,0.5,0.3009678533333328,0.26495,0.2292253966666663,0.36835,0.10104261333333327,0.0654,0.20054766809523808,0.1765,0.2511484883333331,0.15744999999999998,0.07962530833333331,0.3043,0.3049569799999999,0.5,0.3661311233333331,0.17170000000000002,0.31509789000000005,0.4052,0.30830783999999983,0.5,0.5,0.0654,HDy,5,0.07962530833333331,SORD,7,7,4,5,3,6,0,2,8,11,10,1,9,12
0.00955,0.02200190000000004,0.0072499999999999995,0.01626099999999998,0.0165,0.029650833333333314,0.02035,0.02890243333333336,0.00645,0.01779463333333334,0.00845,0.02078794999999998,0.00515,0.012705600000000004,0.0053,0.011867599999999989,0.00555,0.015657599999999963,0.011699999999999999,0.03476130000000001,0.0083,0.013622179999999996,0.0059,0.014414200000000016,0.5,0.5,0.00515,DyS,6,0.011867599999999989,SORD,7,7,6,10,11,8,1,4,5,0,3,2,9,12
