abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12
0.37205,0.4036915000000001,0.15875,0.3687789999999998,0.5,0.32202450000000027,0.2787,0.2787287500000003,0.16845,0.2866029999999999,0.2003,0.3226075000000001,0.16190000000000002,0.3049655000000001,0.1576,0.30033849999999984,0.15535,0.3410725,0.45715000000000006,0.40543099999999993,0.19435,0.2850463333333334,0.32435,0.3394574999999999,0.15535,MS,8,0.2787287500000003,PCC,3,3,10,4,7,6,2,5,11,8,1,0,9
0.0317,0.11946150000000001,0.01905,0.129959725,0.06105000000000001,0.12192683333333329,0.06305,0.1546641,0.038599999999999995,0.14487600000000003,0.02915,0.1820950000000001,0.022000000000000002,0.14099250000000008,0.0235,0.11995050000000003,0.02825,0.11253130000000003,0.12925,0.20347299999999996,0.01905,0.19928025000000013,0.021949999999999997,0.16514933333333334,0.01905,ACC,1,0.11253130000000003,MS,8,8,0,7,2,1,6,4,3,11,5,10,9
0.00885,0.08094150000000001,0.0059499999999999996,0.055191,0.0291,0.09015449999999997,0.03345,0.06321199999999996,0.0067,0.03678149999999998,0.0149,0.0571865,0.0084,0.037543,0.00605,0.03783000000000005,0.0059499999999999996,0.034971500000000016,0.00885,0.063387,0.0068000000000000005,0.03166950000000002,0.0086,0.041811999999999995,0.0059499999999999996,ACC,1,0.03166950000000002,MAX,10,10,8,4,6,7,11,1,5,3,9,0,2
0.3398,0.22384299999999985,0.25365,0.10394150000000002,0.17215,0.20423800000000006,0.2864,0.24786899999999992,0.18015,0.0976135,0.36719999999999997,0.3020625000000002,0.27835,0.13918500000000006,0.16325,0.089222,0.17995,0.10643800000000002,0.18830000000000002,0.24020980000000008,0.13685,0.08415775,0.08025,0.13059049999999997,0.08025,X,11,0.08415775,MAX,10,10,7,4,1,8,11,6,2,0,9,3,5
0.42095,0.2732866833333334,0.25875,0.31920499999999996,0.5,0.30493858333333335,0.26495,0.22150687499999996,0.36835,0.10616608333333336,0.0654,0.1808722,0.1765,0.24775525,0.15744999999999998,0.07523020833333335,0.3043,0.3071315,0.5,0.3533077833333334,0.17170000000000002,0.3301885,0.4052,0.29038498333333335,0.0654,HDy,5,0.07523020833333335,SORD,7,7,4,5,3,6,0,11,2,8,1,10,9
0.00955,0.018483,0.0072499999999999995,0.01494000000000001,0.0165,0.029834,0.02035,0.032826,0.00645,0.019947999999999997,0.00845,0.019916000000000007,0.00515,0.014288499999999999,0.0053,0.011164000000000002,0.00555,0.018154499999999997,0.011699999999999999,0.03395500000000001,0.0083,0.012488000000000004,0.0059,0.016317500000000002,0.00515,DyS,6,0.011164000000000002,SORD,7,7,10,6,1,11,8,0,5,4,2,3,9
0.4485,0.40962308333333325,0.20375,0.3382631666666668,0.5,0.39557000000000003,0.29164999999999996,0.2769485000000003,0.0765,0.17543975,0.2327,0.23460050000000007,0.08265,0.2458855,0.0787,0.20912850000000002,0.14429999999999998,0.28295099999999995,0.3429,0.3755494999999999,0.09494999999999999,0.20211349999999995,0.0993,0.24577799999999994,0.0765,SMM,4,0.17543975,SMM,4,4,10,7,5,11,6,3,8,1,9,2,0
0.3601,0.27652759999999993,0.11505000000000001,0.14613950000000012,0.48835,0.22436312500000002,0.26844999999999997,0.258523,0.06865,0.13378619999999988,0.36210000000000003,0.32115850000000007,0.08945,0.17222874999999987,0.05885,0.16533750000000003,0.2969,0.11952800000000002,0.2998,0.3067065,0.18945,0.11902050000000006,0.1253,0.19212274999999998,0.05885,SORD,7,0.11902050000000006,MAX,10,10,8,4,1,7,6,11,2,3,0,9,5
0.0,0.0265875,0.0,0.021118500000000005,0.003,0.046263166666666695,0.003,0.04780516666666668,0.02275,0.03329000000000002,0.01665,0.06594362499999998,0.0,0.024668749999999982,0.0,0.020911500000000006,0.0,0.02807074999999999,0.0,0.039981,0.0,0.022062,0.0,0.031030000000000002,0.0,CC,0,0.020911500000000006,SORD,7,7,1,10,6,0,8,11,4,9,2,3,5
0.5,0.43171200000000004,0.5,0.34701849999999995,0.361,0.32785,0.361,0.364016,0.17415,0.1250655,0.317,0.2935170000000002,0.317,0.21080266666666655,0.48625,0.10126075000000002,0.5,0.2795620000000001,0.5,0.3793681666666667,0.5,0.139743,0.5,0.13316433333333333,0.17415,SMM,4,0.10126075000000002,SORD,7,7,4,11,10,6,8,5,2,1,3,9,0
