abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11
0.49939999999999996,0.41528650000000006,0.4918,0.23423400000000016,0.3433,0.35192150000000033,0.4905,0.43456350000000016,0.40909999999999996,0.14662849999999988,0.43215000000000003,0.3094695000000002,0.4756,0.2517180000000001,0.4868,0.15620450000000013,0.49895,0.2446744999999998,0.13140000000000002,0.2397065000000002,0.13140000000000002,0.2597405000000001,0.13140000000000002,MAX,9,0.14662849999999988,SMM,4,4,7,1,9,8,6,10,5,2,0,3
0.43395000000000006,0.4233299999999998,0.30079999999999996,0.33124799999999993,0.17335,0.2585020000000002,0.3901,0.35584549999999987,0.1449,0.11068524999999997,0.45155,0.30910150000000025,0.32255,0.17788983333333325,0.17525,0.10993350000000005,0.23855,0.2223705,0.05815000000000001,0.22133399999999995,0.19835,0.19581999999999997,0.05815000000000001,MAX,9,0.10993350000000005,SORD,7,7,4,6,10,9,8,2,5,1,3,0
0.1975,0.19831587499999995,0.1638,0.11716966666666666,0.18795,0.20056475000000012,0.2235,0.22547749999999994,0.12435,0.08437249999999995,0.1843,0.1292409166666667,0.12465,0.08118658333333335,0.13055,0.08772899999999999,0.127,0.08154733333333336,0.19795000000000001,0.11089966666666663,0.18635000000000002,0.11462458333333332,0.12435,SMM,4,0.08118658333333335,DyS,6,6,8,4,7,9,10,1,5,0,2,3
0.5,0.4245190000000001,0.5,0.3515705,0.21975,0.3162440000000002,0.39935000000000004,0.345384,0.38785000000000003,0.16230349999999982,0.47240000000000004,0.357314,0.45439999999999997,0.26549849999999997,0.48465,0.16208199999999995,0.5,0.3058615,0.0661,0.25961150000000016,0.13545,0.26645949999999996,0.0661,MAX,9,0.16208199999999995,SORD,7,7,4,9,6,10,8,2,3,1,5,0
0.39299999999999996,0.31799716666666655,0.32155,0.30015100000000006,0.49924999999999997,0.28646400000000033,0.26195,0.2711465000000002,0.18635000000000002,0.1748714999999999,0.307,0.31770550000000003,0.26505,0.25970800000000005,0.16865,0.18792950000000008,0.28385,0.29851249999999985,0.11245000000000001,0.20613750000000003,0.12895,0.2649939999999999,0.11245000000000001,MAX,9,0.1748714999999999,SMM,4,4,7,9,6,10,3,2,8,1,5,0
0.0,0.04978199999999999,0.0,0.027710500000000002,0.0209,0.09483500000000006,0.0209,0.07254200000000002,0.02645,0.031470333333333336,0.0,0.06076299999999999,0.0,0.047920500000000026,0.0,0.011152999999999998,0.0,0.05031816666666666,0.0,0.011378999999999998,0.0,0.0485535,0.0,CC,0,0.011152999999999998,SORD,7,7,9,1,4,6,10,0,8,5,3,2
0.37205,0.41175449999999997,0.15875,0.3644340000000001,0.5,0.34292400000000034,0.2787,0.2781396000000001,0.16845,0.29850183333333324,0.2003,0.30807349999999994,0.16190000000000002,0.3320915000000001,0.1576,0.3081989999999999,0.15535,0.35292200000000007,0.19435,0.30361499999999997,0.32435,0.322867,0.15535,MS,8,0.2781396000000001,PCC,3,3,4,9,5,7,10,6,2,8,1,0
0.0317,0.13197749999999994,0.01905,0.12774991666666669,0.06105000000000001,0.10910966666666665,0.06305,0.13552449999999994,0.038599999999999995,0.14607550000000002,0.02915,0.16543103571428575,0.022000000000000002,0.11895550000000002,0.0235,0.12539499999999998,0.02825,0.140272,0.01905,0.1827311666666667,0.021949999999999997,0.18509783333333338,0.01905,ACC,1,0.10910966666666665,PACC,2,2,6,7,1,0,3,8,4,5,9,10
0.00885,0.08205950000000005,0.0059499999999999996,0.07231550000000003,0.0291,0.07433949999999995,0.03345,0.06757799999999997,0.0067,0.03850599999999999,0.0149,0.06301800000000003,0.0084,0.041017499999999985,0.00605,0.04295350000000002,0.0059499999999999996,0.049186999999999995,0.0068000000000000005,0.030288500000000003,0.0086,0.04269750000000001,0.0059499999999999996,ACC,1,0.030288500000000003,MAX,9,9,4,6,10,7,8,5,3,1,2,0
0.3398,0.21574699999999988,0.25365,0.09890500000000003,0.17215,0.19411600000000004,0.2864,0.246439,0.18015,0.08850766666666667,0.36719999999999997,0.28517150000000013,0.27835,0.12821200000000008,0.16325,0.0865175,0.17995,0.097833,0.13685,0.09620600000000003,0.08025,0.11615749999999998,0.08025,X,10,0.0865175,SORD,7,7,4,9,8,1,10,6,2,0,3,5
0.42095,0.2745956833333334,0.25875,0.32640029999999987,0.5,0.2921137500000002,0.26495,0.23415758333333347,0.36835,0.1044205,0.0654,0.21195969999999995,0.1765,0.24452269999999998,0.15744999999999998,0.08687279166666674,0.3043,0.2784415,0.17170000000000002,0.3326005,0.4052,0.2844790000000001,0.0654,HDy,5,0.08687279166666674,SORD,7,7,4,5,3,6,0,8,10,2,1,9
0.00955,0.026772999999999984,0.0072499999999999995,0.016463500000000016,0.0165,0.027819000000000028,0.02035,0.031776000000000006,0.00645,0.015591249999999996,0.00845,0.02383150000000001,0.00515,0.0123645,0.0053,0.0104735,0.00555,0.013788499999999997,0.0083,0.016590000000000008,0.0059,0.01780049999999999,0.00515,DyS,6,0.0104735,SORD,7,7,6,8,4,1,9,10,5,0,2,3
