abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12
0.22795,0.2101207,0.0868,0.10556773,0.19565000000000002,0.1490466,0.21080000000000002,0.19741952,0.046349999999999995,0.12540843,0.17495000000000002,0.11119802,0.060899999999999996,0.08443562,0.04945,0.08426133,0.047400000000000005,0.13087736,0.30219999999999997,0.25227818,0.09065,0.10094805,0.2327,0.057936873,0.046349999999999995,SMM,4,0.057936873,X,11,11,7,6,10,1,5,4,8,2,3,0,9
0.24815,0.24604864,0.1085,0.10117094,0.12925,0.1287518,0.23125,0.23035048,0.0582,0.06377059,0.06165,0.07514401,0.0487,0.055557538,0.0541,0.0586282,0.07475,0.07599816,0.27605,0.2840617,0.066,0.06361612,0.066,0.06692255,0.0487,DyS,6,0.055557538,DyS,6,6,7,10,4,11,5,8,1,2,3,0,9
0.5,0.34854767,0.5,0.385707,0.3151,0.38028514,0.3151,0.29643545,0.33135,0.23822384,0.5,0.38725737,0.5,0.2967689,0.5,0.42656896,0.5,0.41361213,0.5,0.44562495,0.5,0.38850003,0.5,0.27963832,0.3151,PACC,2,0.23822384,SMM,4,4,11,3,6,0,2,1,5,10,8,7,9
0.08525,0.11313079,0.0762,0.058975153,0.0802,0.10612065,0.14595,0.15921406,0.054000000000000006,0.09219405,0.0356,0.082174405,0.0451,0.03938069,0.0611,0.062247522,0.05625,0.045321215,0.21865,0.17569977,0.06480000000000001,0.05244047,0.08495000000000001,0.04229187,0.0356,HDy,5,0.03938069,DyS,6,6,11,8,10,1,7,5,4,2,0,3,9
0.023399999999999997,0.04241268,0.0361,0.061708774,0.08814999999999999,0.047089256,0.08985,0.1184677,0.0369,0.06050396,0.0736,0.10256496,0.0251,0.011923486,0.03555,0.04962866,0.036000000000000004,0.05469758,0.10060000000000001,0.08750021,0.0361,0.042503685,0.04845,0.06857446,0.023399999999999997,CC,0,0.011923486,DyS,6,6,0,10,2,7,8,4,1,11,9,5,3
0.14825000000000002,0.20068271,0.06365,0.0831784,0.1509,0.13061085,0.1834,0.16559279,0.05835,0.037135735,0.06875,0.10872862,0.0509,0.06961787,0.05055,0.046045255,0.0572,0.06510708,0.27105,0.25485435,0.0518,0.051542077,0.0721,0.07487235,0.05055,SORD,7,0.037135735,SMM,4,4,7,10,8,6,11,1,5,2,3,0,9
0.13335,0.1729202,0.061500000000000006,0.04329046,0.11689999999999999,0.21700574,0.1875,0.20282455,0.049550000000000004,0.047287975,0.055600000000000004,0.08232546,0.04595,0.03595003,0.049699999999999994,0.031056171,0.049400000000000006,0.047446143,0.2788,0.18907979,0.06185,0.054627176,0.059500000000000004,0.1390328,0.04595,DyS,6,0.031056171,SORD,7,7,6,1,4,8,10,5,11,0,9,3,2
0.22665,0.26130417,0.109,0.11173192,0.2889,0.16787226,0.22920000000000001,0.24134071,0.0739,0.07668298,0.0852,0.26273918,0.067,0.061653808,0.06975,0.09805894,0.07425,0.0704393,0.31905,0.3488029,0.09985,0.09007436,0.0848,0.12954214,0.067,DyS,6,0.061653808,DyS,6,6,8,4,10,7,1,11,2,3,0,5,9
0.00975,0.023342304,0.00975,0.030593056,0.036750000000000005,0.026822098,0.036750000000000005,0.07011484,0.0161,0.019415611,0.0231,0.035842486,0.0104,0.016303983,0.0102,0.020709107,0.010050000000000002,0.012619012,0.01155,0.04242291,0.0007000000000000001,0.03121076,0.0007000000000000001,0.01452467,0.0007000000000000001,MAX,10,0.012619012,MS,8,8,11,6,4,7,0,2,1,10,5,9,3
0.02005,0.046507485,0.044950000000000004,0.09750593,0.02125,0.07891928,0.06725,0.13376486,0.05405,0.2834723,0.052250000000000005,0.05581888,0.014650000000000002,0.028523982,0.04020000000000001,0.3715666,0.04445,0.12945102,0.03325,0.14769454,0.0228,0.062046774,0.02165,0.06721068,0.014650000000000002,DyS,6,0.028523982,DyS,6,6,0,5,10,11,2,1,8,3,9,4,7
