iter	Passed	Remaining
558	3068	2421
559	3075	2416
560	3080	2410
561	3084	2403
562	3091	2399
563	3095	2393
564	3099	2386
565	3106	2381
566	3111	2375
567	3115	2369
568	3121	2364
569	3126	2358
570	3130	2352
571	3137	2347
572	3141	2341
573	3145	2334
574	3152	2329
575	3157	2323
576	3161	2317
577	3167	2312
578	3172	2306
579	3176	2300
580	3182	2294
581	3187	2289
582	3191	2282
583	3197	2277
584	3202	2272
585	3206	2265
586	3213	2260
587	3218	2254
588	3222	2248
589	3228	2243
590	3233	2237
591	3237	2231
592	3243	2226
593	3248	2220
594	3252	2213
595	3258	2208
596	3263	2202
597	3267	2196
598	3273	2191
599	3279	2186
600	3283	2179
601	3289	2174
602	3294	2169
603	3298	2162
604	3305	2157
605	3310	2152
606	3314	2146
607	3321	2141
608	3326	2135
609	3330	2129
610	3336	2124
611	3341	2118
612	3345	2111
613	3351	2106
614	3355	2100
615	3359	2094
616	3365	2089
617	3369	2083
618	3374	2076
619	3381	2072
620	3386	2066
621	3390	2060
622	3396	2055
623	3401	2049
624	3406	2044
625	3413	2039
626	3418	2033
627	3422	2027
628	3428	2022
629	3433	2016
630	3437	2010
631	3444	2005
632	3449	1999
633	3453	1993
634	3460	1988
635	3465	1983
636	3470	1977
637	3477	1973
638	3482	1967
639	3489	1962
640	3495	1957
641	3504	1954
642	3509	1948
643	3544	1959
644	3558	1958
645	3565	1953
646	3578	1952
647	3585	1947
648	3590	1941
649	3597	1936
650	3601	1930
651	3606	1924
652	3613	1920
653	3618	1914
654	3622	1908
655	3629	1903
656	3635	1897
657	3640	1892
658	3645	1886
659	3650	1880
660	3657	1875
661	3663	1870
662	3668	1864
663	3675	1859
664	3680	1854
665	3686	1849
666	3692	1843
667	3697	1837
668	3703	1832
669	3708	1826
670	3713	1820
671	3721	1816
672	3726	1810
673	3731	1804
674	3737	1799
675	3742	1793
676	3748	1788
677	3754	1782
678	3759	1777
679	3765	1771
680	3770	1766
681	3775	1760
682	3782	1755
683	3786	1749
684	3791	1743
685	3797	1738
686	3802	1732
687	3806	1726
688	3812	1721
689	3817	1715
690	3821	1708
691	3828	1703
692	3832	1697
693	3837	1691
694	3858	1693
695	3863	1687
696	3867	1681
697	3873	1675
698	3878	1669
699	3882	1663
700	3888	1658
701	3893	1652
702	3897	1646
703	3902	1640
704	3907	1635
705	3912	1629
706	3917	1623
707	3922	1617
708	3926	1611
709	3931	1605
710	3937	1600
711	3942	1594
712	3946	1588
713	3952	1583
714	3957	1577
715	3961	1571
716	3967	1566
717	3972	1560
718	3978	1554
719	3985	1549
720	3991	1544
721	3998	1539
722	4004	1534
723	4011	1529
724	4017	1523
725	4021	1517
726	4028	1512
727	4033	1506
728	4037	1500
729	4043	1495
730	4048	1489
731	4052	1483
732	4059	1478
733	4064	1472
734	4068	1466
735	4075	1461
736	4080	1456
737	4085	1450
738	4091	1444
739	4095	1439
740	4099	1433
741	4105	1427
742	4110	1421
743	4114	1415
744	4120	1410
745	4125	1404
746	4129	1398
747	4136	1393
748	4141	1387
749	4145	1381
750	4151	1376
751	4156	1370
752	4160	1364
753	4167	1359
754	4172	1353
