Method,Dataset,MAE
BASELINE+TOP3+MEDIAN,1496_ringnorm,0.0413616666666666
BASELINE+TOP3+MEDIAN,1497_wall-robot-navigation,0.0350216666666666
BASELINE+TOP3+MEDIAN,14_mfeat-fourier,0.0127333333333333
BASELINE+TOP3+MEDIAN,1504_steel-plates-fault,0.0011233333333333
BASELINE+TOP3+MEDIAN,1507_twonorm,0.0052516666666666
BASELINE+TOP3+MEDIAN,1510_wdbc,0.0095966666666666
BASELINE+TOP3+MEDIAN,1526_wall-robot-navigation,0.0398566666666666
BASELINE+TOP3+MEDIAN,1527_volcanoes-a1,0.0453516666666666
BASELINE+TOP3+MEDIAN,1535_volcanoes-b5,0.0850349999999999
BASELINE+TOP3+MEDIAN,1538_volcanoes-d1,0.3406816666666666
BASELINE+TOP3+MEDIAN,1539_volcanoes-d2,0.3614083333333333
BASELINE+TOP3+MEDIAN,1540_volcanoes-d3,0.0849383333333333
BASELINE+TOP3+MEDIAN,1541_volcanoes-d4,0.1449083333333333
BASELINE+TOP3+MEDIAN,1547_autoUniv-au1-1000,0.253045
BASELINE+TOP3+MEDIAN,1566_hill-valley,0.1066166666666667
BASELINE+TOP3+MEDIAN,1570_wilt,0.1057716666666666
BASELINE+TOP3+MEDIAN,16_mfeat-karhunen,0.021575
BASELINE+TOP3+MEDIAN,182_satimage,0.0056883333333333
BASELINE+TOP3+MEDIAN,18_mfeat-morphological,0.0073116666666666
BASELINE+TOP3+MEDIAN,20_mfeat-pixel,0.0164366666666666
BASELINE+TOP3+MEDIAN,22_mfeat-zernike,0.03943
BASELINE+TOP3+MEDIAN,23_cmc,0.0538333333333333
BASELINE+TOP3+MEDIAN,28_optdigits,0.0186566666666666
BASELINE+TOP3+MEDIAN,292_Australian,0.0235516666666666
BASELINE+TOP3+MEDIAN,294_satellite_image,0.0095266666666666
BASELINE+TOP3+MEDIAN,30_page-blocks,0.03467
BASELINE+TOP3+MEDIAN,312_scene,0.0081466666666666
BASELINE+TOP3+MEDIAN,333_monks-problems-1,0.068585
BASELINE+TOP3+MEDIAN,334_monks-problems-2,0.3182083333333333
BASELINE+TOP3+MEDIAN,335_monks-problems-3,0.018485
BASELINE+TOP3+MEDIAN,36_segment,0.0061233333333333
BASELINE+TOP3+MEDIAN,375_JapaneseVowels,0.01365
BASELINE+TOP3+MEDIAN,37_diabetes,0.0659883333333333
BASELINE+TOP3+MEDIAN,40474_thyroid-allbp,0.0484533333333333
BASELINE+TOP3+MEDIAN,40475_thyroid-allhyper,0.0596683333333333
BASELINE+TOP3+MEDIAN,40733_yeast,0.1055916666666667
BASELINE+TOP3+MEDIAN,44_spambase,0.0176516666666666
BASELINE+TOP3+MEDIAN,4538_GesturePhaseSegmentationProcessed,0.0746083333333333
BASELINE+TOP3+MEDIAN,458_analcatdata_authorship,0.00456
BASELINE+TOP3+MEDIAN,54_vehicle,0.0235983333333333
BASELINE+TOP3+MEDIAN,60_waveform-5000,0.0224733333333333
BASELINE+TOP3+MEDIAN,679_rmftsa_sleepdata,0.2846683333333333
BASELINE+TOP3+MEDIAN,AedesQuinx,0.0229316666666666
BASELINE+TOP3+MEDIAN,AedesSex,0.0064333333333333
BASELINE+TOP3+MEDIAN,anuranCalls,0.0117966666666666
BASELINE+TOP3+MEDIAN,ArabicDigit,0.0038333333333333
BASELINE+TOP3+MEDIAN,BNG,0.0063533333333333
BASELINE+TOP3+MEDIAN,click-prediction,0.2092133333333333
BASELINE+TOP3+MEDIAN,cmc,0.0499899999999999
BASELINE+TOP3+MEDIAN,covtype_reduced,0.0386216666666666
BASELINE+TOP3+MEDIAN,default_credit_card_clients,0.0733916666666666
BASELINE+TOP3+MEDIAN,eeg,0.0906216666666666
BASELINE+TOP3+MEDIAN,HTRU,0.0174049999999999
BASELINE+TOP3+MEDIAN,jm1-processed,0.0808416666666666
BASELINE+TOP3+MEDIAN,letter-recognition,0.1724716666666666
BASELINE+TOP3+MEDIAN,magic,0.0311716666666666
BASELINE+TOP3+MEDIAN,mozilla,0.0348716666666666
BASELINE+TOP3+MEDIAN,namao,0.0095249999999999
BASELINE+TOP3+MEDIAN,occupancy,0.0047383333333333
BASELINE+TOP3+MEDIAN,phoneme,0.0477533333333333
BASELINE+TOP3+MEDIAN,spambase,0.0184566666666666
BASELINE+TOP3+MEDIAN,winetype,0.0031349999999999
BASELINE+TOP5+MEAN,1043_ada_agnostic,0.0703516666666666
BASELINE+TOP5+MEAN,1069_pc2,0.407888
BASELINE+TOP5+MEAN,11_balance-scale,0.0163693333333333
BASELINE+TOP5+MEAN,12_mfeat-factors,0.0087883333333333
BASELINE+TOP5+MEAN,1460_banana,0.1480546666666666
BASELINE+TOP5+MEAN,1462_banknote-authentication,0.0060589999999999
BASELINE+TOP5+MEAN,1466_cardiotocography,0.0029173333333333
BASELINE+TOP5+MEAN,1475_first-order-theorem-proving,0.0566066666666666
BASELINE+TOP5+MEAN,1479_hill-valley,0.0684193333333333
BASELINE+TOP5+MEAN,1485_madelon,0.09357
BASELINE+TOP5+MEAN,1489_phoneme,0.0600896666666666
BASELINE+TOP5+MEAN,1494_qsar-biodeg,0.0451983333333333
BASELINE+TOP5+MEAN,1496_ringnorm,0.0514393333333333
BASELINE+TOP5+MEAN,1497_wall-robot-navigation,0.048264
BASELINE+TOP5+MEAN,14_mfeat-fourier,0.015257
BASELINE+TOP5+MEAN,1504_steel-plates-fault,0.0015909999999999
BASELINE+TOP5+MEAN,1507_twonorm,0.0053396666666666
BASELINE+TOP5+MEAN,1510_wdbc,0.008293
BASELINE+TOP5+MEAN,1526_wall-robot-navigation,0.0558336666666666
BASELINE+TOP5+MEAN,1527_volcanoes-a1,0.0323906666666666
BASELINE+TOP5+MEAN,1535_volcanoes-b5,0.1198463333333333
BASELINE+TOP5+MEAN,1538_volcanoes-d1,0.301597
BASELINE+TOP5+MEAN,1539_volcanoes-d2,0.265479
BASELINE+TOP5+MEAN,1540_volcanoes-d3,0.1352053333333333
BASELINE+TOP5+MEAN,1541_volcanoes-d4,0.1585413333333333
BASELINE+TOP5+MEAN,1547_autoUniv-au1-1000,0.203129
BASELINE+TOP5+MEAN,1566_hill-valley,0.1053006666666666
BASELINE+TOP5+MEAN,1570_wilt,0.1108999999999999
BASELINE+TOP5+MEAN,16_mfeat-karhunen,0.0250716666666666
BASELINE+TOP5+MEAN,182_satimage,0.004469
BASELINE+TOP5+MEAN,18_mfeat-morphological,0.0097086666666666
BASELINE+TOP5+MEAN,20_mfeat-pixel,0.020971
BASELINE+TOP5+MEAN,22_mfeat-zernike,0.042915
BASELINE+TOP5+MEAN,23_cmc,0.081245
BASELINE+TOP5+MEAN,28_optdigits,0.0226823333333333
BASELINE+TOP5+MEAN,292_Australian,0.0361803333333333
BASELINE+TOP5+MEAN,294_satellite_image,0.009933
BASELINE+TOP5+MEAN,30_page-blocks,0.0271906666666666
BASELINE+TOP5+MEAN,312_scene,0.0078083333333333
BASELINE+TOP5+MEAN,333_monks-problems-1,0.0827593333333333
BASELINE+TOP5+MEAN,334_monks-problems-2,0.2689103333333333
BASELINE+TOP5+MEAN,335_monks-problems-3,0.04091
BASELINE+TOP5+MEAN,36_segment,0.0056143333333333
BASELINE+TOP5+MEAN,375_JapaneseVowels,0.0149796666666666
BASELINE+TOP5+MEAN,37_diabetes,0.0784716666666666
BASELINE+TOP5+MEAN,40474_thyroid-allbp,0.0565336666666666
BASELINE+TOP5+MEAN,40475_thyroid-allhyper,0.072198
BASELINE+TOP5+MEAN,40733_yeast,0.148523
BASELINE+TOP5+MEAN,44_spambase,0.0167006666666666
BASELINE+TOP5+MEAN,4538_GesturePhaseSegmentationProcessed,0.1056513333333333
BASELINE+TOP5+MEAN,458_analcatdata_authorship,0.006082
BASELINE+TOP5+MEAN,54_vehicle,0.019246
BASELINE+TOP5+MEAN,60_waveform-5000,0.0336583333333333
BASELINE+TOP5+MEAN,679_rmftsa_sleepdata,0.2329976666666667
BASELINE+TOP5+MEAN,AedesQuinx,0.0375643333333333
BASELINE+TOP5+MEAN,AedesSex,0.007502
BASELINE+TOP5+MEAN,anuranCalls,0.0138943333333333
BASELINE+TOP5+MEAN,ArabicDigit,0.004747
BASELINE+TOP5+MEAN,BNG,0.00676
BASELINE+TOP5+MEAN,click-prediction,0.224196
BASELINE+TOP5+MEAN,cmc,0.0791113333333333
BASELINE+TOP5+MEAN,covtype_reduced,0.0389336666666666
BASELINE+TOP5+MEAN,default_credit_card_clients,0.1004833333333333
BASELINE+TOP5+MEAN,eeg,0.124939
BASELINE+TOP5+MEAN,HTRU,0.027142
BASELINE+TOP5+MEAN,jm1-processed,0.1194013333333333
BASELINE+TOP5+MEAN,letter-recognition,0.1764719999999999
BASELINE+TOP5+MEAN,magic,0.0508729999999999
BASELINE+TOP5+MEAN,mozilla,0.0370999999999999
BASELINE+TOP5+MEAN,namao,0.0127099999999999
BASELINE+TOP5+MEAN,occupancy,0.006125
BASELINE+TOP5+MEAN,phoneme,0.054478
BASELINE+TOP5+MEAN,spambase,0.0194083333333333
BASELINE+TOP5+MEAN,winetype,0.0024693333333333
BASELINE+TOP5+MEDIAN,1043_ada_agnostic,0.0440516666666666
BASELINE+TOP5+MEDIAN,1069_pc2,0.4644816666666665
BASELINE+TOP5+MEDIAN,11_balance-scale,0.0169883333333333
BASELINE+TOP5+MEDIAN,12_mfeat-factors,0.0057933333333333
BASELINE+TOP5+MEDIAN,1460_banana,0.12298
BASELINE+TOP5+MEDIAN,1462_banknote-authentication,0.0042199999999999
BASELINE+TOP5+MEDIAN,1466_cardiotocography,0.0
BASELINE+TOP5+MEDIAN,1475_first-order-theorem-proving,0.03642
BASELINE+TOP5+MEDIAN,1479_hill-valley,0.0291483333333333
BASELINE+TOP5+MEDIAN,1485_madelon,0.08218
BASELINE+TOP5+MEDIAN,1489_phoneme,0.031615
BASELINE+TOP5+MEDIAN,1494_qsar-biodeg,0.0558016666666666
BASELINE+TOP5+MEDIAN,1496_ringnorm,0.0293483333333333
BASELINE+TOP5+MEDIAN,1497_wall-robot-navigation,0.0279583333333333
BASELINE+TOP5+MEDIAN,14_mfeat-fourier,0.0115133333333333
BASELINE+TOP5+MEDIAN,1504_steel-plates-fault,0.0006716666666666
BASELINE+TOP5+MEDIAN,1507_twonorm,0.0039383333333333
BASELINE+TOP5+MEDIAN,1510_wdbc,0.0085066666666666
BASELINE+TOP5+MEDIAN,1526_wall-robot-navigation,0.04376
BASELINE+TOP5+MEDIAN,1527_volcanoes-a1,0.0329316666666666
BASELINE+TOP5+MEDIAN,1535_volcanoes-b5,0.0717183333333333
BASELINE+TOP5+MEDIAN,1538_volcanoes-d1,0.4127466666666666
BASELINE+TOP5+MEDIAN,1539_volcanoes-d2,0.3910166666666667
BASELINE+TOP5+MEDIAN,1540_volcanoes-d3,0.077205
BASELINE+TOP5+MEDIAN,1541_volcanoes-d4,0.1425516666666666
BASELINE+TOP5+MEDIAN,1547_autoUniv-au1-1000,0.2453333333333333
BASELINE+TOP5+MEDIAN,1566_hill-valley,0.1023283333333333
BASELINE+TOP5+MEDIAN,1570_wilt,0.0558899999999999
BASELINE+TOP5+MEDIAN,16_mfeat-karhunen,0.01977
BASELINE+TOP5+MEDIAN,182_satimage,0.00439
BASELINE+TOP5+MEDIAN,18_mfeat-morphological,0.0056033333333333
BASELINE+TOP5+MEDIAN,20_mfeat-pixel,0.0153233333333333
BASELINE+TOP5+MEDIAN,22_mfeat-zernike,0.039465
BASELINE+TOP5+MEDIAN,23_cmc,0.048575
BASELINE+TOP5+MEDIAN,28_optdigits,0.0163733333333333
BASELINE+TOP5+MEDIAN,292_Australian,0.0192433333333333
BASELINE+TOP5+MEDIAN,294_satellite_image,0.0081183333333333
BASELINE+TOP5+MEDIAN,30_page-blocks,0.0289583333333333
BASELINE+TOP5+MEDIAN,312_scene,0.0066749999999999
BASELINE+TOP5+MEDIAN,333_monks-problems-1,0.0571216666666666
BASELINE+TOP5+MEDIAN,334_monks-problems-2,0.27683
BASELINE+TOP5+MEDIAN,335_monks-problems-3,0.0155616666666666
BASELINE+TOP5+MEDIAN,36_segment,0.0042233333333333
BASELINE+TOP5+MEDIAN,375_JapaneseVowels,0.01052
BASELINE+TOP5+MEDIAN,37_diabetes,0.0606833333333333
BASELINE+TOP5+MEDIAN,40474_thyroid-allbp,0.0318916666666666
BASELINE+TOP5+MEDIAN,40475_thyroid-allhyper,0.0527833333333333
BASELINE+TOP5+MEDIAN,40733_yeast,0.1137833333333333
BASELINE+TOP5+MEDIAN,44_spambase,0.010705
BASELINE+TOP5+MEDIAN,4538_GesturePhaseSegmentationProcessed,0.055525
BASELINE+TOP5+MEDIAN,458_analcatdata_authorship,0.0046983333333333
BASELINE+TOP5+MEDIAN,54_vehicle,0.0231799999999999
BASELINE+TOP5+MEDIAN,60_waveform-5000,0.01232
BASELINE+TOP5+MEDIAN,679_rmftsa_sleepdata,0.20905
BASELINE+TOP5+MEDIAN,AedesQuinx,0.02173
BASELINE+TOP5+MEDIAN,AedesSex,0.00567
BASELINE+TOP5+MEDIAN,anuranCalls,0.0089666666666666
BASELINE+TOP5+MEDIAN,ArabicDigit,0.0035533333333333
BASELINE+TOP5+MEDIAN,BNG,0.0051966666666666
BASELINE+TOP5+MEDIAN,click-prediction,0.217965
BASELINE+TOP5+MEDIAN,cmc,0.0458233333333333
BASELINE+TOP5+MEDIAN,covtype_reduced,0.0269616666666666
BASELINE+TOP5+MEDIAN,default_credit_card_clients,0.0506283333333333
BASELINE+TOP5+MEDIAN,eeg,0.0825766666666666
BASELINE+TOP5+MEDIAN,HTRU,0.0133016666666666
BASELINE+TOP5+MEDIAN,jm1-processed,0.0612216666666666
BASELINE+TOP5+MEDIAN,letter-recognition,0.1264749999999999
BASELINE+TOP5+MEDIAN,magic,0.0215349999999999
BASELINE+TOP5+MEDIAN,mozilla,0.0189766666666666
BASELINE+TOP5+MEDIAN,namao,0.0070816666666666
BASELINE+TOP5+MEDIAN,occupancy,0.003305
BASELINE+TOP5+MEDIAN,phoneme,0.0296283333333333
BASELINE+TOP5+MEDIAN,spambase,0.00898
BASELINE+TOP5+MEDIAN,winetype,0.0026183333333333
CC,1043_ada_agnostic,0.1832
CC,1069_pc2,0.4993999999999999
CC,11_balance-scale,0.0317
CC,12_mfeat-factors,0.00885
CC,1460_banana,0.42095
CC,1462_banknote-authentication,0.00955
CC,1466_cardiotocography,0.0
CC,1475_first-order-theorem-proving,0.1902499999999999
CC,1479_hill-valley,0.22625
CC,1485_madelon,0.215
CC,1489_phoneme,0.24815
CC,1494_qsar-biodeg,0.08525
CC,1496_ringnorm,0.14825
CC,1497_wall-robot-navigation,0.13335
CC,14_mfeat-fourier,0.00975
CC,1504_steel-plates-fault,0.0
CC,1507_twonorm,0.0151
CC,1510_wdbc,0.01665
CC,1526_wall-robot-navigation,0.16845
CC,1527_volcanoes-a1,0.2118
CC,1535_volcanoes-b5,0.34765
CC,1538_volcanoes-d1,0.5
CC,1539_volcanoes-d2,0.5
CC,1540_volcanoes-d3,0.4853499999999999
CC,1541_volcanoes-d4,0.47485
CC,1547_autoUniv-au1-1000,0.5
CC,1566_hill-valley,0.2146
CC,1570_wilt,0.3625
CC,16_mfeat-karhunen,0.02845
