abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11
0.02135,0.06974849999999996,0.013049999999999999,0.04139700000000004,0.011500000000000002,0.058667999999999915,0.02145,0.04554499999999998,0.0116,0.03790400000000002,0.014199999999999999,0.024925500000000003,0.0079,0.030038499999999985,0.010050000000000002,0.03765200000000004,0.0103,0.03876650000000001,0.011699999999999999,0.025352333333333355,0.0149,0.05282100000000003,0.0079,DyS,6,0.024925500000000003,HDy,5,5,9,6,7,4,8,1,3,10,2,0
0.22735,0.2746167500000002,0.11215,0.41543899999999967,0.35105,0.3263642500000002,0.23295000000000002,0.24491400000000024,0.0902,0.3069518999999998,0.1659,0.34510158333333374,0.09480000000000001,0.3704492499999995,0.08995000000000002,0.2676578333333334,0.08745000000000001,0.3719972499999997,0.10975,0.34117427499999986,0.11065,0.3684024999999999,0.08745000000000001,MS,8,0.24491400000000024,PCC,3,3,7,0,4,2,9,5,10,6,8,1
0.05325,0.11694650000000002,0.0204,0.06902224999999997,0.0194,0.08965583333333325,0.055,0.13876233333333332,0.0171,0.05081689999999999,0.0416,0.05491324999999998,0.02245,0.04318350000000001,0.0177,0.05450566666666667,0.01725,0.05253108333333333,0.01705,0.0475936,0.01705,0.05248775,0.01705,MAX,9,0.04318350000000001,DyS,6,6,9,4,10,8,7,5,1,2,0,3
0.02075,0.05982549999999998,0.0152,0.05540999999999993,0.0173,0.05289649999999992,0.02495,0.039787000000000024,0.0121,0.038525000000000025,0.01295,0.03240150000000003,0.011300000000000001,0.03237149999999997,0.012350000000000002,0.03572100000000001,0.0127,0.055782999999999985,0.01385,0.03292999999999996,0.01365,0.058501999999999936,0.011300000000000001,DyS,6,0.03237149999999997,DyS,6,6,5,9,7,4,3,2,1,8,10,0
0.09555,0.10528954166666668,0.0444,0.046769999999999985,0.0622,0.06440724999999996,0.1241,0.1201579999999999,0.037149999999999996,0.040524666666666674,0.042249999999999996,0.05674325,0.03135,0.03484749999999999,0.03625,0.038212000000000024,0.03485,0.04403625000000003,0.04605000000000001,0.0378315,0.0444,0.04722499999999999,0.03135,DyS,6,0.03484749999999999,DyS,6,6,9,7,4,8,1,10,5,2,0,3
0.1417,0.11987616666666667,0.0713,0.05052,0.06335,0.11549999999999987,0.15755,0.13622912499999998,0.063,0.04250999999999999,0.05465,0.058177500000000035,0.028399999999999998,0.03751275,0.05745,0.0383645,0.06415,0.04258700000000002,0.0313,0.04304650000000001,0.0313,0.04753549999999999,0.028399999999999998,DyS,6,0.03751275,DyS,6,6,7,4,8,9,10,1,5,2,0,3
0.028450000000000003,0.10575400000000001,0.014450000000000001,0.05831499999999998,0.02035,0.12166599999999991,0.04445,0.15321624999999997,0.0141,0.05177816666666665,0.01315,0.07266899999999996,0.011850000000000001,0.042588999999999995,0.01325,0.05429146666666668,0.01355,0.042463499999999994,0.01255,0.04636199999999998,0.0181,0.055921625,0.011850000000000001,DyS,6,0.042463499999999994,MS,8,8,6,9,4,7,10,1,5,0,2,3
0.0592,0.18903290000000023,0.024700000000000003,0.09845450000000003,0.021150000000000002,0.169417,0.06905,0.1917830000000002,0.019000000000000003,0.06880249999999996,0.0346,0.06396791666666672,0.01325,0.06953333333333331,0.01775,0.06868499999999994,0.01935,0.06797362500000009,0.01695,0.07363008333333329,0.01705,0.08142899999999996,0.01325,DyS,6,0.06396791666666672,HDy,5,5,8,7,4,6,9,10,1,2,0,3
0.1582,0.10491816666666672,0.08035,0.06308350000000006,0.1255,0.10568075000000013,0.19115,0.12226000000000012,0.0546,0.05487700000000003,0.054450000000000005,0.05756216666666674,0.05225,0.03561333333333338,0.053849999999999995,0.03413749999999997,0.05355000000000001,0.04064983333333339,0.0713,0.04740391666666662,0.07205,0.03684499999999994,0.05225,DyS,6,0.03413749999999997,SORD,7,7,6,10,8,9,4,5,1,0,2,3
0.16365,0.16234692857142857,0.09195,0.10626999999999999,0.12990000000000002,0.2070955000000001,0.1948,0.17099401428571423,0.06375,0.08801200000000002,0.0613,0.094408375,0.0631,0.06835200000000001,0.063,0.0692073333333334,0.06335,0.07775750000000002,0.07780000000000001,0.06236669999999998,0.07890000000000001,0.08958700000000003,0.0613,HDy,5,0.06236669999999998,MAX,9,9,6,7,8,4,10,5,1,0,3,2
0.36655,0.18338149999999992,0.38744999999999996,0.09106249999999992,0.48515,0.29068758333333355,0.25984999999999997,0.20684500000000017,0.1117,0.07439050000000005,0.1164,0.1398341666666668,0.09849999999999999,0.07562489999999991,0.0932,0.07343525000000004,0.2579,0.06821344999999995,0.09625,0.08504700000000005,0.09449999999999999,0.09308799999999996,0.0932,SORD,7,0.06821344999999995,MS,8,8,7,4,6,9,1,10,5,0,3,2
0.0483,0.2082027500000001,0.02215,0.09815650000000002,0.0907,0.17789096666666665,0.12135,0.19055520000000004,0.022099999999999998,0.07674399999999998,0.024249999999999997,0.0705795,0.020100000000000003,0.061133500000000035,0.02135,0.06385316666666671,0.0217,0.10248135000000001,0.025,0.08175618333333333,0.02475,0.09721666666666666,0.020100000000000003,DyS,6,0.061133500000000035,DyS,6,6,7,5,4,9,10,1,8,2,3,0
0.3703,0.13507650000000002,0.1512,0.09994650000000002,0.5,0.1543075916666667,0.27085000000000004,0.15023133333333333,0.09519999999999999,0.05086766666666669,0.1588,0.05829841666666669,0.09645,0.03802459999999999,0.09875,0.05259641666666671,0.11895,0.07845000000000002,0.12365,0.06174973333333333,0.12365,0.07114479166666668,0.09519999999999999,SMM,4,0.03802459999999999,DyS,6,6,4,7,5,9,10,8,1,0,3,2
0.07680000000000001,0.24385725000000014,0.0344,0.12902399999999994,0.15535,0.22883558333333348,0.12765,0.21562313333333324,0.033549999999999996,0.14715300000000003,0.0365,0.07808175000000002,0.027800000000000002,0.1120310000000001,0.0304,0.07232160000000001,0.030950000000000002,0.12359062500000001,0.03085,0.11270058333333326,0.03975,0.15765300000000007,0.027800000000000002,DyS,6,0.07232160000000001,SORD,7,7,5,6,9,8,1,4,10,3,2,0
0.5,0.16386150000000005,0.5,0.07969675000000001,0.26285000000000003,0.17307299999999998,0.26285000000000003,0.1695357499999999,0.18460000000000001,0.058500500000000025,0.5,0.08971141666666668,0.5,0.058463000000000015,0.11645,0.07126783333333336,0.5,0.04824590000000001,0.5,0.07559208333333334,0.5,0.07607991666666665,0.11645,SORD,7,0.04824590000000001,MS,8,8,6,4,7,9,10,1,5,0,3,2
0.10295,0.074843,0.04875,0.052992999999999964,0.09154999999999999,0.06380599999999997,0.14785,0.07802750000000001,0.0404,0.05208150000000002,0.051100000000000007,0.09485816666666663,0.03915,0.06692350000000002,0.03955,0.030952333333333328,0.039900000000000005,0.06708399999999999,0.04875,0.09325699999999998,0.0484,0.12353216666666661,0.03915,DyS,6,0.030952333333333328,SORD,7,7,4,1,2,6,8,0,3,9,5,10
