Method,Dataset,MAE
SMM,40474_thyroid-allbp,0.0546
SMM,40475_thyroid-allhyper,0.06375
SMM,40496_LED-display-domain-7digit,0.06775
SMM,40733_yeast,0.1117
SMM,40877_seeds,0.02415
SMM,40_sonar,0.06275
SMM,43_haberman,0.15695
SMM,44_spambase,0.0220999999999999
SMM,450_analcatdata_lawsuit,0.1566
SMM,4538_GesturePhaseSegmentationProcessed,0.0951999999999999
SMM,458_analcatdata_authorship,0.00715
SMM,461_analcatdata_creditscore,0.05205
SMM,463_backache,0.5012
SMM,464_prnn_synth,0.0399
SMM,48_tae,0.3464
SMM,53_heart-statlog,0.1349
SMM,54_vehicle,0.0331
SMM,59_ionosphere,0.05195
SMM,60_waveform-5000,0.0335499999999999
SMM,61_iris,0.04095
SMM,679_rmftsa_sleepdata,0.1846
SMM,694_diggle_table_a2,0.02725
SMM,AedesQuinx,0.0404
SMM,AedesSex,0.01165
SMM,anuranCalls,0.00735
SMM,ArabicDigit,0.00955
SMM,BNG,0.0228
SMM,click-prediction,0.0175
SMM,cmc,0.1362
SMM,covtype_reduced,0.0777
SMM,default_credit_card_clients,0.05465
SMM,eeg,0.0809
SMM,HTRU,0.15835
SMM,jm1-processed,0.1118
SMM,letter-recognition,0.1074
SMM,magic,0.05
SMM,mozilla,0.0421999999999999
SMM,namao,0.0188
SMM,occupancy,0.0079
SMM,phoneme,0.06305
SMM,spambase,0.02305
SMM,winetype,0.006
HDy,1043_ada_agnostic,0.0957
HDy,1048_jEdit_4,0.15245
HDy,1049_pc4,0.2085
HDy,1050_pc3,0.24285
HDy,1054_mc2,0.17855
HDy,1056_mc1,0.31605
HDy,1061_ar4,0.47275
HDy,1065_kc3,0.309
HDy,1066_kc1-binary,0.15635
HDy,1068_pc1,0.263
HDy,1069_pc2,0.43215
HDy,1071_mw1,0.45155
HDy,1073_jEdit_4,0.1843
HDy,1075_datatrieve,0.4724
HDy,1115_teachingAssistant,0.307
HDy,1121_badges2,0.0
HDy,1167_pc1_req,0.2003
HDy,11_balance-scale,0.02915
HDy,12_mfeat-factors,0.0149
HDy,1456_appendicitis,0.3671999999999999
HDy,1460_banana,0.0654
HDy,1462_banknote-authentication,0.00845
HDy,1464_blood-transfusion-service-center,0.2327
HDy,1465_breast-tissue,0.3621
HDy,1466_cardiotocography,0.01665
HDy,1467_climate-model-simulation-crashes,0.317
HDy,1473_fertility,0.5
HDy,1475_first-order-theorem-proving,0.086
HDy,1479_hill-valley,0.0486
HDy,1484_lsvt,0.08395
HDy,1485_madelon,0.1579
